City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nakamura,20,JP,1535209200,83,35.17,136.87,84.2,1.12
1,albany,75,US,1535212260,62,42.65,-73.75,75.2,9.17
2,puerto ayora,75,EC,1535209200,69,-0.74,-90.35,75.2,12.75
3,dikson,44,RU,1535212890,93,73.51,80.55,50.12,7.07
4,ushuaia,40,AR,1535209200,52,-54.81,-68.31,42.8,11.41
5,barrow,0,AR,1535212890,66,-38.31,-60.23,51.29,10.09
6,grindavik,20,IS,1535209200,62,63.84,-22.43,51.8,6.93
7,pyaozerskiy,88,RU,1535212890,84,65.83,31.17,62.72,9.08
8,yellowknife,75,CA,1535209200,81,62.45,-114.38,50.0,4.7
9,richards bay,20,ZA,1535212946,64,-28.77,32.06,76.58,13.0
10,lavrentiya,12,RU,1535212761,100,65.58,-170.99,44.45,7.96
11,gushikawa,40,JP,1535209800,88,26.35,127.87,81.5,11.41
12,upernavik,48,GL,1535212733,91,72.79,-56.15,41.57,24.74
13,new norfolk,0,AU,1535211000,75,-42.78,147.06,46.4,10.29
14,banda aceh,88,ID,1535212893,76,5.56,95.32,80.0,6.4
15,saint george,40,GR,1535210400,58,39.45,22.34,84.2,12.75
16,hermanus,8,ZA,1535212893,59,-34.42,19.24,58.22,18.7
17,medicine hat,75,CA,1535210280,81,50.04,-110.68,50.0,2.24
18,morondava,0,MG,1535212894,64,-20.3,44.28,79.28,6.06
19,the valley,40,AI,1535209200,58,18.22,-63.06,87.8,16.11
20,punta arenas,75,CL,1535209200,70,-53.16,-70.91,44.6,12.75
21,east london,0,ZA,1535209200,40,-33.02,27.91,73.4,5.82
22,bredasdorp,0,ZA,1535209200,32,-34.53,20.04,69.8,16.11
23,wuchang,92,CN,1535212895,98,44.93,127.16,63.71,5.73
24,butaritari,0,KI,1535212895,100,3.07,172.79,83.78,3.38
25,port alfred,0,ZA,1535212711,63,-33.59,26.89,71.36,8.63
26,caravelas,0,BR,1535212896,98,-17.73,-39.27,76.49,9.53
27,saint-paul,90,FR,1535211000,63,45.22,1.9,64.4,10.29
28,pascagoula,1,US,1535212380,61,30.37,-88.56,89.06,3.36
29,tautira,36,PF,1535211000,78,-17.73,-149.15,73.4,4.7
30,touros,8,BR,1535212711,74,-5.2,-35.46,82.88,16.58
31,lebu,48,ET,1535212897,86,8.96,38.73,59.03,3.04
32,isangel,68,VU,1535212898,100,-19.55,169.27,72.17,17.13
33,lata,76,IN,1535212898,100,30.78,78.62,59.21,1.48
34,tura,80,IN,1535212898,90,25.52,90.21,81.8,2.15
35,danville,1,US,1535212440,50,36.59,-79.4,78.98,5.82
36,tual,64,ID,1535212899,100,-5.67,132.75,78.92,9.64
37,san vicente,0,SV,1535212200,74,13.64,-88.78,89.6,5.82
38,katsuura,0,JP,1535212900,85,33.93,134.5,77.57,4.61
39,lamont,0,CA,1535212901,94,53.76,-112.78,45.8,4.38
40,arys,0,KZ,1535209200,24,42.43,68.8,68.0,6.71
41,husavik,36,CA,1535212901,95,50.56,-96.99,67.58,10.42
42,saldanha,0,PT,1535212901,32,41.42,-6.55,83.24,3.71
43,bethel,92,US,1535212902,96,60.79,-161.76,49.76,8.41
44,grinnell,1,US,1535211300,88,41.74,-92.72,80.6,8.05
45,rikitea,88,PF,1535212902,100,-23.12,-134.97,71.81,12.44
46,launceston,90,AU,1535211000,87,-41.43,147.14,44.6,12.75
47,hualmay,24,PE,1535212903,73,-11.1,-77.61,65.51,4.5
48,qaanaaq,0,GL,1535212871,99,77.48,-69.36,36.44,3.94
49,hilo,90,US,1535208780,93,19.71,-155.08,73.04,4.7
50,lorengau,20,PG,1535212903,100,-2.02,147.27,79.82,1.59
51,san patricio,0,PY,1535212694,70,-26.98,-56.83,59.03,3.6
52,ketchikan,90,US,1535208960,86,55.34,-131.65,57.02,11.41
53,manaquiri,40,BR,1535212800,59,-3.43,-60.46,91.4,6.93
54,kapaa,90,US,1535211540,97,22.08,-159.32,75.92,18.34
55,kochi,48,IN,1535212904,90,9.96,76.25,77.12,6.62
56,dapaong,88,TG,1535212904,100,10.86,0.2,76.67,6.06
57,busselton,24,AU,1535212875,100,-33.64,115.35,53.18,6.96
58,nakhon thai,92,TH,1535212904,98,17.1,100.84,71.09,4.16
59,cuamba,76,MZ,1535212905,28,-14.8,36.54,80.36,3.6
60,hobart,0,AU,1535211000,75,-42.88,147.33,46.4,10.29
61,hami,56,CN,1535212905,38,42.84,93.51,73.79,3.71
62,fortuna,0,ES,1535211000,62,38.18,-1.13,93.2,6.93
63,sitia,8,GR,1535212906,97,35.21,26.11,80.18,7.4
64,mponela,0,MW,1535212906,43,-13.53,33.74,72.53,11.77
65,hamilton,40,BM,1535208900,70,32.3,-64.78,86.0,8.05
66,matara,0,PE,1535209200,57,-13.74,-72.9,51.8,2.48
67,mahebourg,40,MU,1535209200,69,-20.41,57.7,73.4,12.75
68,oriximina,0,BR,1535212907,50,-1.77,-55.87,91.79,5.61
69,hithadhoo,80,MV,1535212907,100,-0.6,73.08,81.26,4.16
70,saint-augustin,75,FR,1535211000,56,44.83,-0.61,69.8,12.75
71,mataura,0,NZ,1535212908,96,-46.19,168.86,36.89,7.74
72,salamiyah,0,SY,1535212908,22,35.01,37.05,89.27,15.68
73,parga,20,ES,1535211000,68,43.39,-8.21,71.6,9.17
74,bonthe,56,SL,1535212909,90,7.53,-12.5,80.63,6.62
75,havoysund,92,NO,1535210400,71,71.0,24.66,55.4,9.17
76,jamestown,0,AU,1535212687,80,-33.21,138.6,36.71,2.59
77,el tocuyo,75,VE,1535209200,61,9.79,-69.8,80.6,13.87
78,dunedin,0,NZ,1535212687,80,-45.87,170.5,32.12,1.48
79,puerto madryn,0,AR,1535212909,63,-42.77,-65.04,52.28,8.97
80,sao filipe,0,CV,1535212733,88,14.9,-24.5,81.8,6.73
81,codrington,44,AU,1535212910,90,-28.95,153.24,47.15,1.59
82,alpena,75,US,1535211360,92,45.06,-83.43,71.06,11.41
83,victoria,75,BN,1535211000,83,5.28,115.24,82.4,1.12
84,kamenka,0,RU,1535212911,34,53.19,44.05,77.21,3.6
85,port augusta,0,AU,1535209200,87,-32.49,137.76,46.4,5.82
86,mount isa,0,AU,1535211000,37,-20.73,139.49,51.8,1.12
87,deputatskiy,0,RU,1535212709,91,69.3,139.9,28.52,2.59
88,atuona,12,PF,1535212912,100,-9.8,-139.03,78.65,17.58
